Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (IDR),Impressions,Impressions click-through rate (%)
KF9su8dt3Rw,Mengapa Orang Suka Menyendiri? Inilah Sejatinya – Dr. Fahruddin Faiz | Suara Filsuf,"May 15, 2025",37,7,"0,0348",0,"1,206",10,0
ktLNm6ubuaw,Al-Mawardi: 6 Tanda Bangsa Akan Hancur — Nomor Terakhir Sudah Kita Anggap Normal,"May 5, 2026",6952,7,"1,4197",0,"4,296",166,"2,41"
pziEVkhgc2w,"Rindu Allah, Hati Jadi Damai - Dr. Fahruddin Faiz","Apr 23, 2025",85,7,"0,0579",0,"1,262",34,"8,82"
MiZuRmuNW9I,Rahasia Heroisme: Mengapa Dunia Tidak Butuh Orang Pintar yang Hanya Peduli pada Dirinya Sendiri?,"May 3, 2026",6705,6,"2,6568",0,"50,756",156,"1,28"
5v8DwF7y4hk,Mengapa Kita Suka Menghakimi Orang Lain? Bongkar Rahasia Gelap di Balik Ego Manusia – Fahruddin Faiz,"Nov 2, 2025",6085,6,"2,7558",0,"60,075",61,"4,92"
634ipPwrBWk,Rahasia Hidup Tenang ala Zen di Dunia yang Kacau – Dr. Fahruddin Faiz,"Oct 3, 2025",6656,6,"1,2481",0,"27,019",74,"8,11"
iK5qq0Ia3GI,Tahu Diri & Tahu Batas: Dua Kunci Agar Hidupmu Tidak Nyasar - Dr. Fahruddin Faiz,"Apr 17, 2025",25,6,"0,0137",0,"1,299",14,0
cAywIh3Vvp0,Akal Tidak Menyelamatkan Hidupmu: Mengapa Kepintaran Bisa Membuat Jiwa Kosong – Dr. Fahruddin Faiz,"Dec 15, 2025",6292,6,"1,7256",0,"129,021",62,"6,45"
3C4w3dRXycA,Mehmed II : Mengapa Ia Disebut Sebaik-Baik Pemimpin? Apa Rahasianya?,"Apr 21, 2026",7171,6,"2,6357",0,"62,921",208,"2,4"
J3kPEOb4lh4,Saat Derita Membawamu Lebih Dekat Kepada Allah,"May 29, 2026",2394,6,"0,7117",0,"11,464",244,"1,64"
Y1J9flvg7W8,"Tenangkan Pikiranmu, Hidup Tak Harus Dilawan – Dr. Fahruddin Faiz","Apr 25, 2025",2017,6,"0,8045",0,"2,149",58,"1,72"
6iTfwJKZsYc,Makna Serawung Roso: Menyatu Tanpa Kata – Dr. Fahruddin Faiz,"Jul 12, 2025",63,6,"0,0176",0,"0,918",36,0
gagi2G94vGk,Manusia Itu Egois — Ini Faktanya,"Apr 12, 2026",51,6,"0,0305",0,"0,627",21,0
9BeRrQTAGsA,Kenapa Rumahmu Terasa Seperti Penjara? #shorts,"May 21, 2026",51,6,"0,0317",0,"0,591",32,"3,13"
S76YRAiJ86g,"Bebas Dirimu! Latihlah Hati, Menjadi Asli Justru Membuat Hidup Lebih Ringan","Apr 7, 2026",5969,6,"1,7261",0,"6,09",173,"1,73"
Fk1y1oXOx2M,Menjaga Jiwa dari Amarah – Renungan Lembut Dr. Fahruddin Faiz,"Jun 5, 2025",66,6,"0,0273",0,"0,341",52,"1,92"
4g2yNqWLbZU,Hijab di Pikiranmu yang Membuat Tuhan Terasa Jauh – Dr. Fahruddin Faiz,"Apr 5, 2026",3728,6,"0,0461",0,"10,121",41,"7,32"
9RjcE5Q5h8Q,"Krishnamurti Bebas dari yang Dikenal, Bebas dari Diri Palsu – Dr. Fahruddin Faiz","Sep 25, 2025",75,6,"0,0696",0,"0,914",16,"6,25"
1g2lrnM9YA0,"Barat Tanpa Islam, Kita Islam Tanpa Nilai?","Apr 1, 2026",6757,6,"5,0479",0,"1015,465",186,"2,69"
yz-Vfms7Pd0,Cara Bijak Hadapi Orang Toxic – Dr. Fahruddin Faiz,"Nov 1, 2025",119,6,"0,0441",0,"1,001",21,"9,52"
9NItpD9eWiE,Kenapa Kita Sering Kecewa dalam Cinta? Kisah Farhad & Sirin Menjawab,,7150,5,"2,0292",0,"1,616",93,"2,15"
oQegl99lLwI,Kenapa Kamu Gak Pernah Benar-Benar Orisinal? – Dr. Fahruddin Faiz,"Oct 14, 2025",170,5,"0,0276",0,"0,917",18,"5,56"
F7QIFg90sgw,Mengapa Kebebasan Justru Menakutkan? Erich Fromm Menjawab – Dr. Fahruddin Faiz,"Aug 27, 2025",6729,5,"3,5729",0,"30,553",88,"2,27"
B-1hXzeJ0sU,Jangan Terlanjur Rusak #shorts,"Jun 20, 2026",54,5,"0,0233",0,"4,043",13,0
Ic881MallN8,Pikiranmu Bukan Tempat Sampah – Dr. Fahruddin Faiz,"Apr 27, 2025",1544,5,"1,3591",0,"101,358",77,"5,19"
udUd4B_mEMw,Bukan Karena Uang—Ini Alasan Kamu Tetap Miskin,"Mar 31, 2026",6993,5,"2,0662",0,"17,902",137,"2,92"
yyps0nbuKYI,Meniti Jalan Kembali – Dr. Fahruddin Faiz,"Sep 28, 2025",114,5,"0,0566",0,"1,79",33,"9,09"
OyNeEnj4o8s,"Syukuri Peran Hidupmu, Itu Amanah dari Tuhan – Dr. Fahruddin Faiz","May 19, 2025",49,5,"0,0367",0,"0,609",13,0
duZ54jRGza4,Semua Akan Berlalu: Filosofi Jepang yang Menenangkan Hati,,6800,5,"3,3986",0,"1,172",54,"3,7"
FnsEZui_78s,Hidup Terasa Biasa Saja? Ini Rahasia Agar Hidupmu Lebih Bermakna – Dr. Fahruddin Faiz,"May 12, 2025",3247,4,"0,0051",0,"13,258",32,0
