Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (IDR),Impressions,Impressions click-through rate (%)
9uWEwOJ4wwA,Seni Melepaskan: Rahasia Mencintai Tanpa Kehilangan Diri,,6194,1,"0,9111",0,,44,0
3J8BmndWYk4,Rumus Triwikromo: Hidup Tanpa Cemas #shorts,,69,1,"0,001",0,,1,0
RUEky7Q7mtA,Filosofi Jawa ‘Wani Ngalah’: Kekuatan di Balik Sikap Mengalah – Dr. Fahruddin Faiz,"May 19, 2025",2373,1,"0,6626",0,"27,54",78,"1,28"
EGV9xKo0UiI,Mental Kepiting: Saling Jatuh Saat Ada yang Naik – Dr. Fahruddin Faiz,"Nov 4, 2025",86,1,"0,0207",0,"0,304",7,0
VwA4TaU2vSA,Kenapa Kita Sering Merasa Paling Benar? Imam Malik Menjawab,,6992,1,"1,9422",0,,41,0
-cAIMA84vAI,"Bebas dari 5 Hal Ini, Hidupmu Akan Bahagia – Dr. Fahruddin Faiz","May 22, 2025",61,1,"0,0167",0,"0,325",4,0
4C3d299iNqQ,Orang Relijius? Ternyata Begini Ciri Aslinya! - Dr. Fahruddin Faiz,"May 16, 2025",59,0,0,0,,4,0
Quo6WH9IkbM,Bahagia Tanpa Sedih Tidak Ada Artinya – Dr. Fahruddin Faiz | Suara Filsuf,"Dec 6, 2025",100,0,0,0,,8,0
A3yk9Mg8TRg,Sungguh Beruntung... Mereka yang Menyucikan Jiwanya - Dr. Fahruddin Faiz #shorts,"Apr 21, 2025",42,0,0,0,,0,
4afDxc2Mu-o,Hidup Hanya Mampir Minum: Jangan Terjebak di Tempat Transit! #shorts,"May 23, 2026",48,0,0,0,,10,0
M2mL_Dv0o3I,"Krisis Terbesar Hari Ini Bukan Ekonomi, Tapi Ego | Dr. Fahruddin Faiz","Nov 11, 2025",107,0,0,0,,4,0
6pvYdYgNUHo,Kenali Sisi Gelapmu: Mekanisme Proyeksi – Dr. Fahruddin Faiz | Suara Filsuf,"Nov 15, 2025",78,0,0,0,,16,0
Lw9-DElmrgA,"Yang Bikin Kamu Sakit Bukan Masalahnya, Tapi Pikiranmu","Jun 24, 2025",126,0,0,0,,9,0
PuAYT2qtfQE,Sinyal Allah untuk Kita: Sudahkah Kita Mendekat? - Dr. Fahruddin Faiz,"Apr 28, 2025",55,,,,,1,0
vL9j1RLF68g,"Berhenti Mencari Bahagia, Mulailah Menikmatinya | Dr. Fahruddin Faiz","May 27, 2025",83,,,,,5,0
-iiRonDP0uU,"Rahasia Menjadi ""Api"": Mensucikan Tanpa Terkotori","Jan 21, 2026",65,,,,,3,0
ke87y6_ZP-g,Mungkin Kamu yang Menciptakan Kecewamu,"Feb 23, 2026",33,,,,,4,0
hTjPkG9cu28,Ada Pola dalam Segalanya—Termasuk Luka yang Kau Alami,"Jul 1, 2025",94,,,,,1,0
-A1gmtAn_6M,DOSA DOUBLE! Kenapa Berhenti Ibadah Karena Takut Pamer Itu Salah? ❌,"Jan 22, 2026",58,,,,,7,0
qVw4U5MZTw8,Kalau Kamu Muslim Sejati… Buktinya Ini,"Apr 13, 2026",41,,,,,6,0
rBTK3mrFHxE,"Jalan Sunyi Itu Tak Sepi, Tapi Penuh Tuhan","Jun 25, 2025",48,,,,,8,0
Qy3KcAU4Kgk,Kekuasaan Tak Lebih dari Setetes Air Kencing #shorts,"Apr 14, 2026",113,,,,,4,0
xnRCpOytycM,CARA AUDIT HATI! 3 Level Muhasabah ala Imam Al-Muhasibi 🧐,"Jan 22, 2026",66,,,,,7,0
Y-_RClRGOJo,Dua Racun Jiwa yang Harus Kamu Hindari – Dr. Fahruddin Faiz,"Jun 7, 2025",53,,,,,5,0
3Q6242_5rWM,Masalahmu Berawal dari Terlalu Memilih #shorts,"Apr 23, 2026",27,,,,,6,0
4WdxKbNfXv8,Kamu Pintar Karena Ada yang Rela Bodoh,"Jan 24, 2026",68,,,,,4,0
f-Mr44dgcVo,Hidupmu Berat? Itu Medan Latihan Batinmu — Dr. Fahruddin Faiz,"Jun 30, 2025",44,,,,,3,0
aITuFf3w7gw,Manusia Itu Baik… Tapi Kenapa Jadi Jahat? #shorts,"Apr 16, 2026",78,,,,,11,0
w5IxzHAbr6w,Hanya Ada 2 Jenis Manusia di Dunia Ini – Kamu yang Mana? - Dr. Fahruddin Faiz,"Apr 30, 2025",172,,,,,12,0
zIH8UQ8f8B4,Ambisi Bisa Mengotori Jiwa – Pesan Dr. Fahruddin Faiz,"Jun 6, 2025",61,,,,,10,0
_pG5KTD9GUU,Puasa Media Sosial: Cara Menjaga Hati dari Kebisingan Zaman – Dr. Fahruddin Faiz,"Jul 9, 2025",6135,,,,,19,0
ab9Z7CXZwEk,Orang Hebat Tak Anti Kritik – Dr. Fahruddin Faiz | Suara Filsuf,"May 31, 2025",64,,,,,22,0
Omc62iupiXw,"Bahagiakan Dirimu Dulu, Baru Orang Lain – Dr. Fahruddin Faiz","May 12, 2025",61,,,,,13,0
KcUFVXdoodA,Kenapa Kamu Sulit Istiqomah? Inilah Rahasia Menenun Kebaikan,,5701,,,,,4,0
3ekirGn4vvU,"Hidup Itu Dinikmati, Bukan Disesali – Dr. Fahruddin Faiz","Apr 15, 2025",37,,,,,5,0
ANIlVAkDZUQ,Kamu Mencintai atau Mengingkan? 🤔 - Dr. Fahruddin Faiz,"Apr 19, 2025",43,,,,,11,0
AY0oq7g78k4,Jihad Tanpa Pedang?! Warisan Syekh Abdul Qadir al-Jaza’iri untuk Zaman Kini – Dr. Fahruddin Faiz,"Jul 25, 2025",6734,,,,,9,0
L-SdzLPIzXo,Berhenti Membuat Hidupmu Rumit! #shorts,"May 13, 2026",66,,,,,5,0
c-4H6EUyBzc,Iman Tinggi #shorts,"May 15, 2026",35,,,,,5,0
fwmoD7jZeI0,Puasa Pikiran: Ketenangan Batin dalam Filsafat Zhuang Zi – Dr. Fahruddin Faiz,"Jul 7, 2025",6352,,,,,11,0
sNL8MRN3E7g,Kalau Semua Milik Allah… Kenapa Kamu Takut Kehilangan? #shorts,"Apr 15, 2026",37,,,,,15,0
zktE5HT_LcE,Nasihat Move On Paling Logis dari Filsuf – Dr. Fahruddin Faiz | Suara Filsuf,"Dec 16, 2025",61,,,,,3,0
j5LFLzN9A1Y,"Punya Alasan, Punya Kekuatan",,77,,,,,1,0
MD9DtnteSD4,"Filsafat Cinta: Kenangan, Makhluk Paling Indah dalam Cinta – Dr. Fahruddin Faiz","Jun 5, 2025",3054,,,,,7,0
S-I__jm2v44,Syariat Tanpa Hakikat Itu Kosong! Peringatan Syah Waliyullah al-Dihlawi – Fahruddin Faiz,"Aug 1, 2025",6500,,,,,20,0
nzcTraG4hzo,"Jarak Terjauh Bukan Samudera, Tapi Pikiranmu","Jan 23, 2026",68,,,,,3,0
wYefZyA01Iw,"Kontrollah Keinginanmu, Baru Kamu Bisa Bahagia – Dr. Fahruddin Faiz | Suara Filsuf","May 8, 2025",49,,,,,10,0
uQKcvpfEx1A,Sabar dan Syukur: Dua Kunci Utama Kehidupan #shorts,"May 16, 2026",41,,,,,8,0
vhAXKZyCm-M,"Bukan Dunia, Tapi Otakmu yang Bikin Kamu Menderita","Jun 21, 2025",164,,,,,12,0
DCjKU6K5pfc,Sudahkah Kamu Bertemu Tuhan dalam Dirimu? Rahasia Guru Sejati – Dr. Fahruddin Faiz,"Jun 12, 2025",1845,,,,,6,0
3gN2Oc4usjo,Nabi yang Dihapus dari Sejarah? | Ngaji Filsafat,"Jan 20, 2026",64,,,,,7,0
uGtp9m7f7-o,"Maafkan Dirimu, Maka Damai Akan Hadir ✨ - Dr. Fahruddin Faiz","Apr 18, 2025",46,,,,,6,0
Ln3Uv7gdQoE,"Tamparan Kesadaran: Kaya Itu Tentang ""Cukup"" #shorts","May 14, 2026",59,,,,,8,0
CXPk8f4Dfqc,Jebakan Ambisi: Mengapa Semakin Kaya Hidup Justru Semakin Terjajah?,,6598,,,,,36,0
547wEhub3Io,Pikiran Jernih: Akar Ketenangan dan Kebijaksanaan – Dr. Fahruddin Faiz,"Jun 29, 2025",2967,,,,,10,0
U1wmkRp57cE,Ingin Bahagia? Kelola Raja dalam Dirimu | Dr. Fahruddin Faiz #Shorts,"May 26, 2025",38,,,,,5,0
ohsB8R0I4ew,TUBUH DETEKSI DOSA! Kisah Ajaib Imam Al-Muhasibi 😱,"Jan 23, 2026",116,,,,,6,0
DDj_mQx79B4,Hal Sepele yang Menjadi Dosa Besar,"Jan 24, 2026",91,,,,,4,0
QaOYng9-PfI,Tanda Hatimu Masih Hidup – Pesan Mendalam dari Dr. Fahruddin Faiz,"Jun 16, 2025",83,,,,,6,0
U1jf2HDXt30,Pikiran Negatif Kok Bisa Jadi Kenyataan? Ini Penjelasan Ilmiah & Filosofisnya – Dr. Fahruddin Faiz,"May 9, 2025",2102,,,,,34,0
